😀	विस्मयमानं मुखम्
🙎🏽‍♀️	woman pouting: मध्यम त्वचास्वरः
🙎🏽‍♀	woman pouting: मध्यम त्वचास्वरः
🙎🏾‍♀️	woman pouting: मध्यम-कृष्णत्वक्स्वरः
🙎🏾‍♀	woman pouting: मध्यम-कृष्णत्वक्स्वरः
🙎🏿‍♀️	woman pouting: कृष्णत्वक्स्वरः
🙎🏿‍♀	woman pouting: कृष्णत्वक्स्वरः
🙅	व्यक्तिः NO इति इशारान् करोति
🙅🏻	person gesturing NO: हल्के त्वचास्वरः
🙅🏼	person gesturing NO: मध्यम-हल्का त्वचास्वरः
🙅🏽	person gesturing NO: मध्यम त्वचास्वरः
🙅🏾	person gesturing NO: मध्यम-गहरे त्वचास्वरः
🙅🏿	person gesturing NO: गहरे त्वचास्वरः
🙅‍♂️	पुरुषः NO इति इशारान् करोति
🙅‍♂	पुरुषः NO इति इशारान् करोति
🙅🏻‍♂️	man gesturing NO: हल्के त्वचास्वरः
🙅🏻‍♂	man gesturing NO: हल्के त्वचास्वरः
🙅🏼‍♂️	man gesturing NO: मध्यम-हल्का त्वचास्वरः
🙅🏼‍♂	man gesturing NO: मध्यम-हल्का त्वचास्वरः
🙅🏽‍♂️	man gesturing NO: मध्यम त्वचास्वरः
🙅🏽‍♂	man gesturing NO: मध्यम त्वचास्वरः
🙅🏾‍♂️	man gesturing NO: मध्यम-कृष्णत्वक्स्वरः
🙅🏾‍♂	man gesturing NO: मध्यम-कृष्णत्वक्स्वरः
🙅🏿‍♂️	man gesturing NO: कृष्णवर्णीयत्वक्स्वरः
🙅🏿‍♂	man gesturing NO: कृष्णवर्णीयत्वक्स्वरः
🙅‍♀️	स्त्री NO इति इशारान् करोति
🙅‍♀	स्त्री NO इति इशारान् करोति
🙅🏻‍♀️	woman gesturing NO: हल्के त्वचास्वरः
🙅🏻‍♀	woman gesturing NO: हल्के त्वचास्वरः
🙅🏼‍♀️	woman gesturing NO: मध्यम-हल्का त्वचास्वरः
🙅🏼‍♀	woman gesturing NO: मध्यम-हल्का त्वचास्वरः
🙅🏽‍♀️	woman gesturing NO: मध्यमत्वक्स्वरः
🙅🏽‍♀	woman gesturing NO: मध्यमत्वक्स्वरः
🙅🏾‍♀️	woman gesturing NO: मध्यम-कृष्णत्वक्स्वरः
🙅🏾‍♀	woman gesturing NO: मध्यम-कृष्णत्वक्स्वरः
🙅🏿‍♀️	woman gesturing NO: कृष्णत्वक्स्वरः
🙅🏿‍♀	woman gesturing NO: कृष्णत्वक्स्वरः
🙆	व्यक्तिः ठीकम् इशारयति
🙆🏻	person gesturing OK: हल्के त्वचास्वरः
🙆🏼	person gesturing OK: मध्यम-हल्का त्वचास्वरः
🙆🏽	person gesturing OK: मध्यम त्वचास्वरः
🙆🏾	person gesturing OK: मध्यम-कृष्णत्वक्स्वरः
🙆🏿	person gesturing OK: कृष्णत्वक्स्वरः
🙆‍♂️	पुरुषः ठीकम् इशारयन्
🙆‍♂	पुरुषः ठीकम् इशारयन्
🙆🏻‍♂️	man gesturing OK: हल्के त्वचास्वरः
🙆🏻‍♂	man gesturing OK: हल्के त्वचास्वरः
🙆🏼‍♂️	man gesturing OK: मध्यम-हल्का त्वचास्वरः
🙆🏼‍♂	man gesturing OK: मध्यम-हल्का त्वचास्वरः
🙆🏽‍♂️	पुरुषः इशारान् ठीकम् : मध्यमत्वक्स्वरः
🙆🏽‍♂	पुरुषः इशारान् ठीकम् : मध्यमत्वक्स्वरः
🙆🏾‍♂️	man gesturing OK: मध्यम-कृष्णत्वक्स्वरः
🙆🏾‍♂	man gesturing OK: मध्यम-कृष्णत्वक्स्वरः
🙆🏿‍♂️	पुरुषः इशारान् ठीकम् : कृष्णत्वक्स्वरः
🙆🏿‍♂	पुरुषः इशारान् ठीकम् : कृष्णत्वक्स्वरः
🙆‍♀️	ठीकम् इशारयन्ती महिला
🙆‍♀	ठीकम् इशारयन्ती महिला
🙆🏻‍♀️	woman gesturing OK: हल्के त्वचास्वरः
🙆🏻‍♀	woman gesturing OK: हल्के त्वचास्वरः
🙆🏼‍♀️	woman gesturing OK: मध्यम-हल्का त्वचास्वरः
🙆🏼‍♀	woman gesturing OK: मध्यम-हल्का त्वचास्वरः
🙆🏽‍♀️	woman gesturing OK: मध्यमत्वक्स्वरः
🙆🏽‍♀	woman gesturing OK: मध्यमत्वक्स्वरः
🙆🏾‍♀️	woman gesturing OK: मध्यम-कृष्णत्वक्स्वरः
🙆🏾‍♀	woman gesturing OK: मध्यम-कृष्णत्वक्स्वरः
🙆🏿‍♀️	woman gesturing OK: कृष्णत्वक्स्वरः
🙆🏿‍♀	woman gesturing OK: कृष्णत्वक्स्वरः
💁	person tipping hand
💁🏻	person tipping hand: हल्के त्वचास्वरः
💁🏼	person tipping hand: मध्यम-हल्के त्वचास्वरः
💁🏽	person tipping hand: मध्यम त्वचास्वरः
💁🏾	person tipping hand: मध्यम-कृष्णत्वक्स्वरः
💁🏿	person tipping hand: कृष्णत्वक्स्वरः
💁‍♂️	मनुष्यः हस्तं टिपन्
💁‍♂	मनुष्यः हस्तं टिपन्
💁🏻‍♂️	man tipping hand: हल्के त्वचास्वरः
💁🏻‍♂	man tipping hand: हल्के त्वचास्वरः
💁🏼‍♂️	man tipping hand: मध्यम-हल्के त्वचास्वरः
💁🏼‍♂	man tipping hand: मध्यम-हल्के त्वचास्वरः
💁🏽‍♂️	man tipping hand: मध्यम त्वचास्वरः
💁🏽‍♂	man tipping hand: मध्यम त्वचास्वरः
💁🏾‍♂️	man tipping hand: मध्यम-कृष्णत्वक्स्वरः
💁🏾‍♂	man tipping hand: मध्यम-कृष्णत्वक्स्वरः
💁🏿‍♂️	man tipping hand: कृष्णत्वक्स्वरः
💁🏿‍♂	man tipping hand: कृष्णत्वक्स्वरः
💁‍♀️	स्त्री हस्तं टिपति
💁‍♀	हस्तं टिपन्ती स्त्री
💁🏻‍♀️	woman tipping hand: हल्के त्वचास्वरः
💁🏻‍♀	woman tipping hand: हल्के त्वचास्वरः
💁🏼‍♀️	woman tipping hand: मध्यम-हल्का त्वचास्वरः
💁🏼‍♀	woman tipping hand: मध्यम-हल्का त्वचास्वरः
💁🏽‍♀️	महिला हस्तं टिपति : मध्यम त्वचास्वरः
💁🏽‍♀	महिला हस्तं टिपति : मध्यम त्वचास्वरः
💁🏾‍♀️	woman tipping hand: मध्यम-कृष्णत्वक्स्वरः
💁🏾‍♀	woman tipping hand: मध्यम-कृष्णत्वक्स्वरः
💁🏿‍♀️	woman tipping hand: कृष्णत्वक्स्वरः
💁🏿‍♀	woman tipping hand: कृष्णत्वक्स्वरः
🙋	हस्तं उत्थापयन् व्यक्तिः
🙋🏻	person raising hand: हल्के त्वचास्वरः
🙋🏼	हस्तं उत्थापयन् व्यक्तिः मध्यम-हल्का त्वचास्वरः
🙋🏽	हस्तं उत्थापयन् व्यक्तिः मध्यमत्वक्स्वरः
🙋🏾	हस्तं उत्थापयन् व्यक्तिः मध्यम-कृष्णत्वक्-वर्णः
🙋🏿	हस्तं उत्थापयन् व्यक्तिः कृष्णवर्णीयत्वक्स्वरः
