😀	ꯒ꯭ꯔꯤꯅꯤꯡ ꯐꯦꯁ꯫
🧚🏽	ꯐꯦꯔꯤ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏾	ꯐꯦꯔꯤ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏿	fairy: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧚‍♀️	ꯅꯨꯄꯤ ꯄꯥꯔꯤ꯫
🧚‍♀	ꯅꯨꯄꯤ ꯄꯥꯔꯤ꯫
🧚🏻‍♀️	ꯅꯨꯄꯤ ꯄꯥꯔꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏻‍♀	ꯅꯨꯄꯤ ꯄꯥꯔꯤ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏼‍♀️	ꯅꯨꯄꯤ ꯐꯦꯔꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏼‍♀	ꯅꯨꯄꯤ ꯐꯦꯔꯤ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏽‍♀️	ꯅꯨꯄꯤ ꯄꯥꯔꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧚🏽‍♀	ꯅꯨꯄꯤ ꯄꯥꯔꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧚🏾‍♀️	ꯅꯨꯄꯤ ꯐꯦꯔꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏾‍♀	ꯅꯨꯄꯤ ꯐꯦꯔꯤ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏿‍♀️	ꯅꯨꯄꯤ ꯄꯥꯔꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧚🏿‍♀	ꯅꯨꯄꯤ ꯄꯥꯔꯤ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧚‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯄꯥꯔꯤ꯫
🧚‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯄꯥꯔꯤ꯫
🧚🏻‍♂️	man fairy: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏻‍♂	man fairy: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏼‍♂️	man fairy: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏼‍♂	man fairy: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏽‍♂️	man fairy: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧚🏽‍♂	man fairy: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧚🏾‍♂️	man fairy: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏾‍♂	man fairy: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧚🏿‍♂️	man fairy: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧚🏿‍♂	man fairy: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛	ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ ꯑꯣꯏꯕꯥ꯫
🧛🏻	ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏼	ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏽	ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛🏾	ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏿	ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛‍♀️	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ꯫
🧛‍♀	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ꯫
🧛🏻‍♀️	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏻‍♀	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏼‍♀️	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏼‍♀	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏽‍♀️	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛🏽‍♀	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛🏾‍♀️	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏾‍♀	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏿‍♀️	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛🏿‍♀	ꯅꯨꯄꯤ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ꯫
🧛‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯚ꯭ꯌꯥꯝꯄꯥꯌꯔ꯫
🧛🏻‍♂️	man vampire: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏻‍♂	man vampire: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏼‍♂️	man vampire: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏼‍♂	man vampire: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏽‍♂️	man vampire: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛🏽‍♂	man vampire: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛🏾‍♂️	man vampire: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏾‍♂	man vampire: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧛🏿‍♂️	man vampire: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧛🏿‍♂	man vampire: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧜	ꯃꯔꯄꯔꯁꯟ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫
🧜🏻	merperson: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏼	merperson: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏽	merperson: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏾	merperson: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏿	merperson: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧜‍♀️	ꯃꯤꯔꯩꯕꯥꯛ ꯃꯆꯥ꯫
🧜‍♀	ꯃꯤꯔꯩꯕꯥꯛ ꯃꯆꯥ꯫
🧜🏻‍♀️	mermaid: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏻‍♀	mermaid: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏼‍♀️	mermaid: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏼‍♀	mermaid: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏽‍♀️	ꯃꯦꯔꯃꯦꯗ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧜🏽‍♀	mermaid: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧜🏾‍♀️	mermaid: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏾‍♀	mermaid: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏿‍♀️	mermaid: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧜🏿‍♀	mermaid: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧜‍♂️	ꯃꯥꯔꯃꯥꯟ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫
🧜‍♂	ꯃꯥꯔꯃꯥꯟ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫
🧜🏻‍♂️	merman: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏻‍♂	merman: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏼‍♂️	merman: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏼‍♂	merman: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏽‍♂️	merman: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧜🏽‍♂	merman: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧜🏾‍♂️	merman: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏾‍♂	merman: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧜🏿‍♂️	merman: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧜🏿‍♂	merman: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧝	ꯑꯦꯂꯐ
🧝🏻	ꯑꯦꯂꯐ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏼	ꯑꯦꯂꯐ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏽	ꯑꯦꯂꯐ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏾	ꯑꯦꯂꯐ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏿	ꯑꯦꯂꯐ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧝‍♀️	ꯅꯨꯄꯤ ꯑꯦꯂꯐ꯫
🧝‍♀	ꯅꯨꯄꯤ ꯑꯦꯂꯐ꯫
🧝🏻‍♀️	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏻‍♀	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏼‍♀️	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏼‍♀	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏽‍♀️	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧝🏽‍♀	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧝🏾‍♀️	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏾‍♀	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏿‍♀️	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧝🏿‍♀	ꯅꯨꯄꯤ ꯑꯦꯂꯐ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧝‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯑꯦꯂꯐ꯫
🧝‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯑꯦꯂꯐ꯫
🧝🏻‍♂️	man elf: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏻‍♂	man elf: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏼‍♂️	man elf: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏼‍♂	man elf: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏽‍♂️	man elf: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧝🏽‍♂	man elf: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🧝🏾‍♂️	man elf: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏾‍♂	man elf: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏿‍♂️	man elf: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧝🏿‍♂	man elf: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🧞	ꯖꯤꯅꯤꯁ ꯍꯥꯌꯅꯥ ꯈꯉꯅꯕꯥ꯫
🧞‍♀️	ꯅꯨꯄꯤ ꯖꯤꯅꯤꯁ꯫
🧞‍♀	ꯅꯨꯄꯤ ꯖꯤꯅꯤꯁ꯫
🧞‍♂️	ꯃꯤꯑꯣꯏꯕꯥ ꯖꯤꯅꯤꯁ꯫
🧞‍♂	ꯃꯤꯑꯣꯏꯕꯥ ꯖꯤꯅꯤꯁ꯫
🧟	ꯖꯣꯝꯕꯤ꯫
🧟‍♀️	ꯅꯨꯄꯤ ꯖꯣꯝꯕꯤ꯫
🧟‍♀	ꯅꯨꯄꯤ ꯖꯣꯝꯕꯤ꯫
🧟‍♂️	ꯃꯤꯑꯣꯏ ꯖꯣꯝꯕꯤ꯫
🧟‍♂	ꯃꯤꯑꯣꯏ ꯖꯣꯝꯕꯤ꯫
🙍	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ꯫
🙍🏻	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏼	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏽	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯤꯗꯤꯌꯝ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏾	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏿	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍‍♂️	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯜꯂꯀꯏ꯫
🙍‍♂	ꯃꯤꯑꯣꯏ ꯑꯗꯨꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯜꯂꯀꯏ꯫
🙍🏻‍♂️	man frowning: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏻‍♂	man frowning: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏼‍♂️	man frowning: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏼‍♂	man frowning: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏽‍♂️	man frowning: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🙍🏽‍♂	man frowning: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🙍🏾‍♂️	man frowning: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏾‍♂	man frowning: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏿‍♂️	man frowning: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🙍🏿‍♂	man frowning: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🙍‍♀️	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ꯫
🙍‍♀	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯟꯗꯨꯅꯥ ꯂꯩꯕꯥ꯫
🙍🏻‍♀️	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏻‍♀	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏼‍♀️	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏼‍♀	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏽‍♀️	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🙍🏽‍♀	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🙍🏾‍♀️	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏾‍♀	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯤꯗꯤꯌꯝ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙍🏿‍♀️	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🙍🏿‍♀	ꯅꯨꯄꯤꯅꯥ ꯃꯤꯠ ꯎꯏꯁꯤꯅꯕꯥ: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ꯫
🙎	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯄꯥꯎꯇꯤꯡ ꯇꯧꯕꯥ꯫
🙎🏻	person pouting: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙎🏼	person pouting: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙎🏽	person pouting: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ ꯈꯣꯡꯎꯞ꯫
🙎🏾	person pouting: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯗꯥꯔꯛ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙎🏿	person pouting: ꯃꯌꯦꯛ ꯁꯦꯡꯕꯥ ꯈꯣꯡꯎꯞ (dark skin tone)꯫
🙎‍♂️	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯄꯥꯎꯇꯤꯡ ꯇꯧꯕꯥ꯫
🙎‍♂	ꯃꯤꯑꯣꯏ ꯑꯃꯅꯥ ꯄꯥꯎꯇꯤꯡ ꯇꯧꯕꯥ꯫
🙎🏻‍♂️	man pouting: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙎🏻‍♂	man pouting: ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
🙎🏼‍♂️	man pouting: ꯃꯌꯥꯏ ꯑꯣꯏꯕꯥ-ꯂꯥꯏꯠ ꯁ꯭ꯀꯤꯟ ꯇꯣꯟ꯫
