😀	išsišiepęs veidas
🌔	augantis banguotas mėnulis
🌕	pilnatis
🌖	nykstantis tuščias mėnulis
🌗	paskutinis ketvirtis mėnulis
🌘	mažėjantis pusmėnulis
🌙	pusmėnulio mėnulis
🌚	jauno mėnulio veidas
🌛	pirmojo ketvirčio mėnulio veidas
🌜	paskutinio ketvirčio mėnulio veidas
🌡️	termometras
🌡	termometras
☀️	saulė
☀	saulė
🌝	pilnaties veidas
🌞	saulė su veidu
⭐	žvaigždė
🌟	švytinti žvaigždė
🌠	krentanti žvaigždė
☁️	debesis
☁	debesis
⛅	saulė už debesies
⛈️	debesis su žaibais ir lietumi
⛈	debesis su žaibais ir lietumi
🌤️	saulė už mažo debesėlio
🌤	saulė už mažo debesėlio
🌥️	saulė už didelio debesies
🌥	saulė už didelio debesies
🌦️	saulė už lietaus debesies
🌦	saulė už lietaus debesies
🌧️	debesis su lietumi
🌧	debesis su lietumi
🌨️	debesis su sniegu
🌨	debesis su sniegu
🌩️	debesis su žaibais
🌩	debesis su žaibais
🌪️	tornadas
🌪	tornadas
🌫️	rūkas
🌫	rūkas
🌬️	vėjo veidas
🌬	vėjo veidas
🌀	ciklonas
🌈	vaivorykštė
🌂	uždaras skėtis
☂️	skėtis
☂	skėtis
☔	skėtis su lietaus lašais
⛱️	skėtis ant žemės
⛱	skėtis ant žemės
⚡	aukštos įtampos
❄️	snaigė
❄	snaigė
☃️	sniego senis
☃	sniego senis
⛄	sniego senis be sniego
☄️	kometa
☄	kometa
🔥	Ugnis
💧	lašelis
🌊	vandens banga
🎃	Moliūgas žibintas
🎄	Kalėdų eglutė
🎆	fejerverkai
🎇	kibirkštis
🧨	petardą
✨	blizga
🎈	balionas
🎉	vakarėlių popperis
🎊	konfeti kamuolys
🎋	tanabatos medis
🎍	pušies puošmena
🎎	Japoniškos lėlės
🎏	karpių skroblas
🎐	vėjo varpelis
🎑	mėnulio apžiūros ceremonija
🧧	Raudonas vokas
🎀	juostele
🎁	supakuota dovana
🎗️	priminimo juosta
🎗	priminimo juosta
🎟️	įėjimo bilietai
🎟	įėjimo bilietai
🎫	bilietas
🎖️	karinis medalis
🎖	karinis medalis
🏆	trofėjus
🏅	sporto medalis
🥇	I vietos medalis
🥈	2 vietos medalis
🥉	3 vietos medalis
⚽	futbolo kamuolys
⚾	beisbolas
🥎	softbolas
🏀	krepšinio
🏐	tinklinis
🏈	amerikietiškas futbolas
🏉	regbio futbolas
🎾	tenisas
🥏	skraidantis diskas
🎳	boulingas
🏏	kriketo žaidimas
🏑	Žolės riedulys
🏒	ledo ritulys
🥍	lakrosas
🏓	stalo tenisas
🏸	badmintonas
🥊	bokso pirštinė
🥋	kovos menų uniforma
🥅	įvarčių tinklas
⛳	vėliava skylėje
⛸️	čiuožimas ant ledo
⛸	čiuožimas ant ledo
🎣	meškerė
🎽	bėgimo marškinėliai
🎿	slidės
🛷	rogutėmis
🥌	garbanojimo akmuo
🎯	tiesioginis smūgis
🎱	baseinas 8 kamuoliukai
🔮	Kristalinis kamuolys
🧿	nazaro amuletas
🎮	video žaidimas
🕹️	vairasvirte
🕹	vairasvirte
🎰	Lošimų automatas
🎲	žaidimo mirtis
🧩	dėlionės
🧸	meškiukas
♠️	kastuvo kostiumas
♠	kastuvo kostiumas
♥️	širdies kostiumas
♥	širdies kostiumas
♦️	deimantinis kostiumas
♦	deimantinis kostiumas
♣️	klubinis kostiumas
♣	klubinis kostiumas
♟️	šachmatų pėstininkas
♟	šachmatų pėstininkas
🃏	juokdarys
🀄	Mahjong raudonasis drakonas
🎴	gėlių žaidimo kortos
🎭	scenos menai
🖼️	įrėmintas paveikslas
🖼	įrėmintas paveikslas
🎨	menininkų paletė
🧵	siūlas
🧶	verpalų
🔇	nutildytas garsiakalbis
🔈	mažas garsiakalbio garsumas
🔉	garsiakalbis vidutinio garsumo
🔊	garsiakalbis didelis garsumas
📢	garsiakalbis
📣	megafonas
📯	pašto ragas
🔔	varpas
🔕	varpas su pasviruoju brūkšniu
🎼	muzikos partitūra
🎵	muzikinė nata
🎶	muzikos natos
🎙️	studijos mikrofonas
🎙	studijos mikrofonas
🎚️	lygio slankiklį
🎚	lygio slankiklį
🎛️	valdymo rankenėlės
🎛	valdymo rankenėlės
🎤	mikrofonas
🎧	ausines
📻	radijas
🎷	saksofonas
🎸	gitara
🎹	muzikinė klaviatūra
🎺	trimitas
🎻	smuikas
🥁	būgnas
📱	Mobilusis telefonas
📲	mobilusis telefonas su rodykle
☎️	telefonas
☎	telefonas
📞	telefono imtuvas
📟	gaviklis
📠	fakso aparatas
🔋	baterija
🔌	elektros kištukas
💻	nešiojamas kompiuteris
🖥️	stalinis kompiuteris
🖥	stalinis kompiuteris
🖨️	spausdintuvas
🖨	spausdintuvas
⌨️	klaviatūra
⌨	klaviatūra
🖱️	Kompiuterio pelė
🖱	Kompiuterio pelė
🖲️	trackball
🖲	trackball
💽	kompiuterio diskas
💾	diskelis
💿	optinis diskas
📀	dvd
🧮	abakas
🎥	kino kamera
🎞️	filmų kadrai
🎞	filmų kadrai
📽️	kino projektorius
📽	kino projektorius
🎬	plekšnių lenta
📺	televizija
📷	fotoaparatas
📸	fotoaparatas su blykste
📹	Vaizdo kamera
📼	vaizdo kasetė
🔍	padidinamasis stiklas pakreiptas į kairę
🔎	didinamasis stiklas pakreiptas į dešinę
🕯️	žvakė
🕯	žvakė
💡	lemputė
🔦	žibintuvėlis
🏮	raudonas popierinis žibintas
📔	sąsiuvinis su dekoratyviniu viršeliu
📕	uždaryta knyga
📖	Atverskite knygą
📗	žalia knyga
📘	mėlyna knyga
📙	oranžinė knyga
📚	knygos
📓	užrašų knygelė
📒	knyga
📃	puslapis su garbanomis
📜	slinkti
📄	puslapis nukreiptas į viršų
📰	laikraštis
🗞️	susuktas laikraštis
🗞	susuktas laikraštis
📑	žymių skirtukai
🔖	skirtukas
🏷️	etiketė
🏷	etiketė
💰	pinigų maišas
💴	jenų banknotas
💵	dolerių banknotą
💶	eurų banknotas
💷	svarų banknotą
💸	pinigai su sparnais
💳	kreditine kortele
🧾	kvitas
💹	diagrama didėja su jena
💱	valiutos keitykla
💲	sunkus dolerio ženklas
✉️	vokas
✉	vokas
📧	paštu
📨	gaunamas vokas
📩	vokas su rodykle
📤	Siuntimo dėklas
📥	pašto dėžutės dėklas
📦	paketą
📫	uždaryta pašto dėžutė su iškelta vėliava
📪	uždaryta pašto dėžutė su nuleista vėliavėle
📬	atidaryta pašto dėžutė su pakelta vėliava
📭	atidaryta pašto dėžutė su nuleista vėliavėle
📮	pašto dėžutės
🗳️	balsadėžė su balsavimu
🗳	balsadėžė su balsavimu
✏️	pieštukas
✏	pieštukas
✒️	juodas antgalis
✒	juodas antgalis
🖋️	Parkeris
🖋	Parkeris
🖊️	rašiklis
🖊	rašiklis
🖌️	teptukas
🖌	teptukas
🖍️	kreidelė
🖍	kreidelė
📝	atmintinę
💼	portfelis
📁	failų aplankas
📂	atidaryti failų aplanką
🗂️	kartotekų skirstytuvai
🗂	kartotekų skirstytuvai
📅	kalendorius
📆	nuplėšiamas kalendorius
🗒️	spiralinis bloknotas
🗒	spiralinis bloknotas
🗓️	spiralinis kalendorius
🗓	spiralinis kalendorius
📇	kartotekas
📈	diagrama didėja
📉	diagrama mažėja
📊	Juostinė diagrama
📋	iškarpinė
📌	smeigtukas
📍	apvalus segtukas
📎	sąvaržėlę
🖇️	susietos sąvaržėlės
🖇	susietos sąvaržėlės
📏	tiesi liniuotė
📐	trikampė liniuote
✂️	žirklės
✂	žirklės
🗃️	kortelės failų dėžutė
🗃	kortelės failų dėžutė
🗄️	dokumentų spinta
🗄	dokumentų spinta
🗑️	šiukšlių krepšelis
🗑	šiukšlių krepšelis
🔒	užrakinta
🔓	atrakinta
🔏	užrakinta rašikliu
🔐	užrakinta raktu
🔑	Raktas
🗝️	senas raktas
🗝	senas raktas
🔨	plaktukas
⛏️	rinkti
⛏	rinkti
⚒️	plaktukas ir kirsti
⚒	plaktukas ir kirsti
🛠️	plaktukas ir veržliaraktis
🛠	plaktukas ir veržliaraktis
🗡️	durklas
🗡	durklas
⚔️	sukryžiuoti kardai
⚔	sukryžiuoti kardai
🔫	pistoletas
🏹	lankas ir strėlė
🛡️	skydas
🛡	skydas
🔧	veržliaraktis
🔩	veržlė ir varžtas
⚙️	pavara
⚙	pavara
🗜️	spaustukas
🗜	spaustukas
⚖️	balanso skalė
⚖	balanso skalė
🔗	nuoroda
⛓️	grandines
⛓	grandines
🧰	įrankių dėžė
🧲	magnetas
⚗️	alembiškas
⚗	alembiškas
🧪	mėgintuvėlis
🧫	Petri lėkštelė
🧬	DNR
🔬	mikroskopu
🔭	teleskopu
📡	palydovinė antena
💉	švirkštas
💊	piliulę
🚪	duris
🛏️	lova
🛏	lova
🛋️	sofa ir lempa
🛋	sofa ir lempa
🚽	tualetas
🚿	dušas
🛁	vonia
🧴	losjono buteliukas
🧷	apsauginis kaištis
🧹	šluota
🧺	krepšelis
🧻	popieriaus ritinys
🧼	muilas
🧽	kempinė
🧯	gesintuvas
🛒	pirkinių krepšelis
🚬	cigarečių
⚰️	karstas
⚰	karstas
⚱️	laidotuvių urna
⚱	laidotuvių urna
🗿	moai
🏧	bankomato ženklas
🚮	šiukšlių dėžės ženklas
🚰	geriamas vanduo
♿	vežimėlio simbolis
🚹	vyrų tualetas
🚺	moterų kambarys
🚻	tualetas
🚼	kūdikio simbolis
🚾	vandens klozetas
🛂	pasų kontrolė
🛃	papročiai
🛄	bagažo atsiėmimas
🛅	paliktas bagažas
⚠️	įspėjimas
⚠	įspėjimas
🚸	kertantys vaikai
⛔	Nėra įėjimo
🚫	draudžiama
🚳	jokių dviračių
🚭	Nerūkyti
🚯	nešiukšlinti
🚱	negeriamojo vandens
🚷	jokių pėsčiųjų
📵	jokių mobiliųjų telefonų
🔞	nė vieno iki aštuoniolikos
☢️	radioaktyvus
☢	radioaktyvus
☣️	biologinis pavojus
☣	biologinis pavojus
⬆️	rodyklė aukštyn
⬆	rodyklė aukštyn
↗️	rodyklė aukštyn-dešinėn
↗	rodyklė aukštyn-dešinėn
➡️	rodyklė dešinėn
➡	rodyklė dešinėn
↘️	rodyklė žemyn-dešinėn
↘	rodyklė žemyn-dešinėn
⬇️	rodyklė žemyn
⬇	rodyklė žemyn
↙️	rodyklė žemyn į kairę
↙	rodyklė žemyn į kairę
⬅️	rodyklė kairėn
⬅	rodyklė kairėn
↖️	rodyklė aukštyn-kairėn
↖	rodyklė aukštyn-kairėn
↕️	rodyklė aukštyn žemyn
↕	rodyklė aukštyn žemyn
↔️	rodyklė kairėn-dešinėn
↔	rodyklė kairėn-dešinėn
↩️	dešinėn rodyklė, lenkta į kairę
↩	dešinėn rodyklė, lenkta į kairę
↪️	rodyklė į kairę, lenkta į dešinę
↪	rodyklė į kairę, lenkta į dešinę
⤴️	rodyklė dešinėn lenkiama aukštyn
⤴	rodyklė dešinėn lenkiama aukštyn
⤵️	rodyklė dešinėn, lenkta žemyn
⤵	rodyklė dešinėn, lenkta žemyn
🔃	pagal laikrodžio rodyklę vertikalios rodyklės
🔄	rodyklių prieš laikrodžio rodyklę mygtuką
🔙	ATGAL rodyklė
🔚	END rodyklė
🔛	ON rodyklė
🔜	GREITAI rodyklė
🔝	Viršutinė rodyklė
🛐	garbinimo vieta
⚛️	atomo simbolis
⚛	atomo simbolis
🕉️	om
🕉	om
✡️	Dovydo žvaigždė
✡	Dovydo žvaigždė
☸️	dharmos ratas
☸	dharmos ratas
☯️	yin yang
☯	yin yang
✝️	lotyniškas kryžius
✝	lotyniškas kryžius
☦️	stačiatikių kryžius
☦	stačiatikių kryžius
☪️	žvaigždė ir pusmėnulis
☪	žvaigždė ir pusmėnulis
☮️	taikos simbolis
☮	taikos simbolis
🕎	menora
🔯	taškuota šešiakampė žvaigždė
♈	Avinas
♉	Jautis
♊	Dvyniai
♋	Vėžys
♌	Liūtas
♍	Mergelė
♎	Svarstyklės
♏	Skorpionas
♐	Šaulys
♑	Ožiaragis
♒	Vandenis
♓	Žuvys
⛎	Ophiuchus
🔀	takelių maišymo mygtukas
🔁	kartojimo mygtukas
🔂	pakartokite vieną mygtuką
▶️	paleidimo mygtukas
▶	paleidimo mygtukas
⏩	greito sukimo pirmyn mygtukas
⏭️	kito takelio mygtukas
⏭	kito takelio mygtukas
⏯️	paleisti arba pristabdyti mygtuką
⏯	paleisti arba pristabdyti mygtuką
◀️	atbulinės eigos mygtukas
◀	atbulinės eigos mygtukas
⏪	greitas atbulinės eigos mygtukas
⏮️	paskutinio takelio mygtukas
⏮	paskutinio takelio mygtukas
🔼	mygtukas aukštyn
⏫	greito didinimo mygtukas
🔽	mygtuką žemyn
⏬	greito žemyn mygtukas
⏸️	pauzės mygtuką
⏸	pauzės mygtuką
⏹️	sustabdymo mygtukas
⏹	sustabdymo mygtukas
⏺️	įrašymo mygtukas
⏺	įrašymo mygtukas
⏏️	išstūmimo mygtukas
⏏	išstūmimo mygtukas
🎦	kinas
🔅	pritemdymo mygtukas
🔆	ryškus mygtukas
📶	antenos strypai
📳	vibracijos režimas
📴	mobilusis telefonas išjungtas
♀️	moteriškas ženklas
♀	moteriškas ženklas
♂️	vyriškas ženklas
♂	vyriškas ženklas
⚕️	medicinos simbolis
⚕	medicinos simbolis
♾️	begalybė
♾	begalybė
♻️	perdirbimo simbolis
♻	perdirbimo simbolis
⚜️	fleur-de-lis
⚜	fleur-de-lis
🔱	trišakio emblema
📛	vardo kortelė
🔰	Japonijos simbolis pradedantiesiems
⭕	sunkus didelis ratas
✅	balta sunki varnelė
☑️	balsadėžė su čekiu
☑	balsadėžė su čekiu
✔️	sunki varnelė
✔	sunki varnelė
✖️	sunkus dauginimas x
✖	sunkus dauginimas x
❌	kryžiaus ženklas
❎	kryžiaus mygtukas
➕	sunkus pliuso ženklas
➖	sunkus minuso ženklas
➗	sunkiojo skyriaus ženklas
➰	garbanota kilpa
➿	dviguba garbanota kilpa
〽️	dalies keitimo ženklas
〽	dalies keitimo ženklas
✳️	aštuonių stipinų žvaigždutė
✳	aštuonių stipinų žvaigždutė
✴️	aštuoniakampė žvaigždė
✴	aštuoniakampė žvaigždė
❇️	kibirkščiuoti
❇	kibirkščiuoti
‼️	dvigubas šauktukas
‼	dvigubas šauktukas
⁉️	šauktukas klaustukas
⁉	šauktukas klaustukas
❓	Klaustukas
❔	baltas klaustukas
❕	baltas šauktukas
❗	šauktukas
〰️	banguotas brūkšnys
〰	banguotas brūkšnys
©️	autorių teisės
©	autorių teisės
®️	registruotas
®	registruotas
™️	prekės ženklas
™	prekės ženklas
#️⃣	klavišų dangtelis: #
#⃣	klavišų dangtelis: #
*️⃣	klavišų dangtelis: *
*⃣	klavišų dangtelis: *
0️⃣	Klaviatūros dangtelis: 0
0⃣	Klaviatūros dangtelis: 0
1️⃣	klavišų dangtelis: 1
1⃣	klavišų dangtelis: 1
2️⃣	Klaviatūros dangtelis: 2
2⃣	Klaviatūros dangtelis: 2
3️⃣	Klaviatūros dangtelis: 3
3⃣	Klaviatūros dangtelis: 3
4️⃣	Klaviatūros dangtelis: 4
4⃣	Klaviatūros dangtelis: 4
5️⃣	Klaviatūros dangtelis: 5
5⃣	Klaviatūros dangtelis: 5
6️⃣	Klaviatūros dangtelis: 6
6⃣	Klaviatūros dangtelis: 6
7️⃣	Klaviatūros dangtelis: 7
7⃣	Klaviatūros dangtelis: 7
8️⃣	Klaviatūros dangtelis: 8
8⃣	Klaviatūros dangtelis: 8
9️⃣	Klaviatūros dangtelis: 9
9⃣	Klaviatūros dangtelis: 9
🔟	Klaviatūros dangtelis: 10
💯	šimtas taškų
🔠	įvesti lotyniškas didžiąsias raides
🔡	įvesties lotyniškos mažosios raidės
🔢	įvesti skaičius
🔣	įvesties simboliai
🔤	įvesti lotyniškas raides
🅰️	Mygtukas (kraujo grupė)
🅰	Mygtukas (kraujo grupė)
🆎	AB mygtukas (kraujo grupė)
🅱️	B mygtukas (kraujo grupė)
🅱	B mygtukas (kraujo grupė)
🆑	CL mygtukas
🆒	COOL mygtukas
🆓	NEMOKAMAI mygtukas
ℹ️	informacija
ℹ	informacija
🆔	ID mygtukas
Ⓜ️	apsuko M
Ⓜ	apskriejo M
🆕	NAUJAS mygtukas
🆖	NG mygtukas
🅾️	O mygtukas (kraujo grupė)
🅾	O mygtukas (kraujo grupė)
🆗	Gerai mygtukas
🅿️	P mygtukas
🅿	P mygtukas
🆘	SOS mygtukas
🆙	UP mygtukas
🆚	VS mygtukas
🈁	Japoniškas mygtukas „čia“.
🈂️	Japoniškas „paslaugos mokesčio“ mygtukas
🈂	Japoniškas „paslaugos mokesčio“ mygtukas
🈷️	Japoniškas mygtukas „mėnesinė suma“.
🈷	Japoniškas mygtukas „mėnesinė suma“.
🈶	Japoniškas mygtukas „ne nemokamai“.
🈯	Japoniškas mygtukas „rezervuotas“.
🉐	Japoniškas „sandoris“ mygtukas
🈹	Japoniškas „nuolaidos“ mygtukas
🈚	Japoniškas mygtukas „nemokamas“.
🈲	Japoniškas mygtukas „uždrausta“.
🉑	Japoniškas mygtukas „priimtinas“.
🈸	Japoniškas „programos“ mygtukas
🈴	Japoniškas mygtukas „išlaikytas pažymys“.
🈳	Japoniškas „laisvos darbo vietos“ mygtukas
㊗️	Japoniškas „sveikinu“ mygtukas
㊗	Japoniškas „sveikinu“ mygtukas
㊙️	Japoniškas „slaptas“ mygtukas
㊙	Japoniškas „slaptas“ mygtukas
🈺	Japoniškas mygtukas „atvira verslui“.
🈵	Japoniškas mygtukas „nėra laisvų vietų“.
▪️	juodas mažas kvadratas
▪	juodas mažas kvadratas
▫️	baltas mažas kvadratas
▫	baltas mažas kvadratas
◻️	baltas vidutinis kvadratas
◻	baltas vidutinis kvadratas
◼️	juodas vidutinis kvadratas
◼	juodas vidutinis kvadratas
◽	baltas vidutinis-mažas kvadratas
◾	juodas vidutinis-mažas kvadratas
⬛	juodas didelis kvadratas
⬜	baltas didelis kvadratas
🔶	didelis oranžinis deimantas
🔷	didelis mėlynas deimantas
🔸	mažas oranžinis deimantas
🔹	mažas mėlynas deimantas
🔺	raudonas trikampis nukreiptas į viršų
🔻	raudonas trikampis nukreiptas žemyn
💠	deimantas su tašku
🔘	radijo mygtukas
🔲	juodas kvadratinis mygtukas
🔳	baltas kvadratinis mygtukas
⚪	baltas ratas
⚫	juodas ratas
🔴	raudonas ratas
🔵	mėlynas ratas
🏁	languota vėliava
🚩	trikampė vėliava
🎌	sukryžiuotos vėliavos
🏴	juoda vėliava
🏳️	balta vėliava
🏳	balta vėliava
🏳️‍🌈	vaivorykštės vėliava
🏳‍🌈	vaivorykštės vėliava
🏴‍☠️	piratų vėliava
🏴‍☠	piratų vėliava
🇦🇨	Ascension sala
🇦🇩	Andora
🇦🇪	Jungtiniai Arabų Emyratai
🇦🇫	Afganistanas
🇦🇬	Antigva ir Barbuda
🇦🇮	Angilija
🇦🇱	Albanija
🇦🇲	Armėnija
🇦🇴	Angola
🇦🇶	Antarktida
🇦🇷	Argentina
🇦🇸	Amerikos Samoa
🇦🇹	Austrija
🇦🇺	Australija
🇦🇼	Aruba
🇦🇽	Alandų salos
🇦🇿	Azerbaidžanas
🇧🇦	Bosnija ir Hercegovina
🇧🇧	Barbadosas
🇧🇩	Bangladešas
🇧🇪	Belgija
🇧🇫	Burkina Fasas
🇧🇬	Bulgarija
🇧🇭	Bahreinas
🇧🇮	Burundis
🇧🇯	Beninas
🇧🇱	Šv. Bartelmė
🇧🇲	Bermudai
🇧🇳	Brunėjus
🇧🇴	Bolivija
🇧🇶	Karibų Nyderlandai
🇧🇷	Brazilija
🇧🇸	Bahamos
🇧🇹	Butanas
🇧🇻	Bouvet sala
🇧🇼	Botsvana
🇧🇾	Baltarusija
🇧🇿	Belizas
🇨🇦	Kanada
🇨🇨	Kokosų (Kilingo) salos
🇨🇩	Kongas – Kinšasa
🇨🇫	Centrine Afrikos Respublika
🇨🇬	Kongas – Brazavilis
🇨🇭	Šveicarija
🇨🇮	Dramblio Kaulo Krantas
🇨🇰	Kuko salos
🇨🇱	Čilė
🇨🇲	Kamerūnas
🇨🇳	Kinija
🇨🇴	Kolumbija
🇨🇵	Klipertono sala
🇨🇷	Kosta Rika
🇨🇺	Kuba
🇨🇻	Žaliasis Kyšulys
🇨🇼	Kiurasao
🇨🇽	Kalėdų sala
🇨🇾	Kipras
🇨🇿	Čekija
🇩🇪	Vokietija
🇩🇬	Diego Garcia
🇩🇯	Džibutis
🇩🇰	Danija
🇩🇲	Dominika
🇩🇴	Dominikos Respublika
🇩🇿	Alžyras
🇪🇦	Seuta ir Melilija
🇪🇨	Ekvadoras
🇪🇪	Estija
🇪🇬	Egiptas
🇪🇭	Vakarų Sachara
🇪🇷	Eritrėja
🇪🇸	Ispanija
🇪🇹	Etiopija
🇪🇺	Europos Sąjunga
🇫🇮	Suomija
🇫🇯	Fidžis
🇫🇰	Folklando salos
🇫🇲	Mikronezija
🇫🇴	Farerų salos
🇫🇷	Prancūzija
🇬🇦	Gabonas
🇬🇧	Jungtinė Karalystė
🇬🇩	Grenada
🇬🇪	Gruzija
🇬🇫	Prancūzijos Gviana
🇬🇬	Gernsis
🇬🇭	Gana
🇬🇮	Gibraltaras
🇬🇱	Grenlandija
🇬🇲	Gambija
🇬🇳	Gvinėja
🇬🇵	Gvadelupa
🇬🇶	Pusiaujo Gvinėja
🇬🇷	Graikija
🇬🇸	Pietų Džordžija ir Pietų Sandvičo salos
🇬🇹	Gvatemala
🇬🇺	Guamas
🇬🇼	Bisau Gvinėja
🇬🇾	Gajana
🇭🇰	Honkongo SAR Kinija
🇭🇲	Heard ir McDonald salos
🇭🇳	Hondūras
🇭🇷	Kroatija
🇭🇹	Haitis
🇭🇺	Vengrija
🇮🇨	Kanarų salos
🇮🇩	Indonezija
🇮🇪	Airija
🇮🇱	Izraelis
🇮🇲	Meno sala
🇮🇳	Indija
🇮🇴	Britų Indijos vandenyno teritorija
🇮🇶	Irakas
🇮🇷	Iranas
🇮🇸	Islandija
🇮🇹	Italija
🇯🇪	Džersis
🇯🇲	Jamaika
🇯🇴	Jordanas
🇯🇵	Japonija
🇰🇪	Kenija
🇰🇬	Kirgizija
🇰🇭	Kambodža
🇰🇮	Kiribatis
🇰🇲	Komorai
🇰🇳	Sent Kitsas ir Nevis
🇰🇵	Šiaurės Korėja
🇰🇷	Pietų Korėja
🇰🇼	Kuveitas
🇰🇾	Kaimanų salos
🇰🇿	Kazachstanas
🇱🇦	Laosas
🇱🇧	Libanas
🇱🇨	Šv. Liucija
🇱🇮	Lichtenšteinas
🇱🇰	Šri Lanka
🇱🇷	Liberija
🇱🇸	Lesotas
🇱🇹	Lietuva
🇱🇺	Liuksemburgas
🇱🇻	Latvija
🇱🇾	Libija
🇲🇦	Marokas
🇲🇨	Monakas
🇲🇩	Moldova
🇲🇪	Juodkalnija
🇲🇫	Šv. Martynas
🇲🇬	Madagaskaras
🇲🇭	Maršalo salos
🇲🇰	Makedonija
🇲🇱	Malis
🇲🇲	Mianmaras (Birma)
🇲🇳	Mongolija
🇲🇴	Makao SAR Kinija
🇲🇵	Šiaurinės Marianų salos
🇲🇶	Martinika
🇲🇷	Mauritanija
🇲🇸	Montserratas
🇲🇹	Malta
🇲🇺	Mauricijus
🇲🇻	Maldyvai
🇲🇼	Malavis
🇲🇽	Meksika
🇲🇾	Malaizija
🇲🇿	Mozambikas
🇳🇦	Namibija
🇳🇨	Naujoji Kaledonija
🇳🇪	Nigeris
🇳🇫	Norfolko sala
🇳🇬	Nigerija
🇳🇮	Nikaragva
🇳🇱	Nyderlandai
🇳🇴	Norvegija
🇳🇵	Nepalas
🇳🇷	Nauru
🇳🇺	Niue
🇳🇿	Naujoji Zelandija
🇴🇲	Omanas
🇵🇦	Panama
🇵🇪	Peru
🇵🇫	Prancūzų Polinezija
🇵🇬	Papua Naujoji Gvinėja
🇵🇭	Filipinai
🇵🇰	Pakistanas
🇵🇱	Lenkija
🇵🇲	Šv. Pjeras ir Mikelonas
🇵🇳	Pitkerno salos
🇵🇷	Puerto Rikas
🇵🇸	Palestinos teritorijos
🇵🇹	Portugalija
🇵🇼	Palau
🇵🇾	Paragvajus
🇶🇦	Kataras
🇷🇪	Reunjonas
🇷🇴	Rumunija
🇷🇸	Serbija
🇷🇺	Rusija
🇷🇼	Ruanda
🇸🇦	Saudo Arabija
🇸🇧	Saliamono salos
🇸🇨	Seišeliai
🇸🇩	Sudanas
🇸🇪	Švedija
🇸🇬	Singapūras
🇸🇭	Šv. Elena
🇸🇮	Slovėnija
🇸🇯	Svalbardas ir Janas Mayenas
🇸🇰	Slovakija
🇸🇱	Siera Leonė
🇸🇲	San Marinas
🇸🇳	Senegalas
🇸🇴	Somalis
🇸🇷	Surinamas
🇸🇸	Pietų Sudanas
🇸🇹	San Tomė ir Prinsipė
🇸🇻	Salvadoras
🇸🇽	Sint Martenas
🇸🇾	Sirija
🇸🇿	Svazilandas
🇹🇦	Tristanas da Cunha
🇹🇨	Terkso ir Kaikoso salos
🇹🇩	Čadas
🇹🇫	Prancūzijos pietinės teritorijos
🇹🇬	Eiti
🇹🇭	Tailandas
🇹🇯	Tadžikistanas
🇹🇰	Tokelau
🇹🇱	Rytų Timoras
🇹🇲	Turkmėnistanas
🇹🇳	Tunisas
🇹🇴	Tonga
🇹🇷	Turkija
🇹🇹	Trinidadas ir Tobagas
🇹🇻	Tuvalu
🇹🇼	Taivanas
🇹🇿	Tanzanija
🇺🇦	Ukraina
🇺🇬	Uganda
🇺🇲	JAV atokios salos
🇺🇳	Jungtinės Tautos
🇺🇸	Jungtinės Valstijos
🇺🇾	Urugvajus
🇺🇿	Uzbekistanas
🇻🇦	Vatikano miestas
🇻🇨	Sent Vincentas ir Grenadinai
🇻🇪	Venesuela
🇻🇬	Britanijos mergelių salos
🇻🇮	JAV Mergelių salos
🇻🇳	Vietnamas
🇻🇺	Vanuatu
🇼🇫	Wallis & Futuna
🇼🇸	Samoa
🇽🇰	Kosovas
🇾🇪	Jemenas
🇾🇹	Majotas
🇿🇦	pietų Afrika
🇿🇲	Zambija
🇿🇼	Zimbabvė
🏴󠁧󠁢󠁥󠁮󠁧󠁿	Anglija
🏴󠁧󠁢󠁳󠁣󠁴󠁿	Škotija
🏴󠁧󠁢󠁷󠁬󠁳󠁿	Velsas
