😀	hmel nuihzatthlak tak
🃏	joker a ni
🀄	mahjong dragon sen a ni
🎴	pangpar khelhna card te
🎭	performing arts lam a ni
🖼️	frame-a siam thlalak
🖼	frame-a siam thlalak
🎨	artist palette a ni
🧵	la
🧶	yarn a ni
🔇	muted speaker a ni
🔈	speaker volume hniam tak a ni
🔉	speaker volume hniam tak a ni
🔊	speaker volume sang tak a ni
📢	loudspeaker hmanga siam a ni
📣	megaphone hmanga tih a ni
📯	postal horn a ni
🔔	bell a ni
🔕	bell leh slash
🎼	musical score a ni
🎵	musical note a ni
🎶	musical notes te pawh a awm bawk
🎙️	studio microphone hmanga siam a ni
🎙	studio microphone hmanga siam a ni
🎚️	level slider a ni
🎚	level slider a ni
🎛️	control knob te a awm bawk
🎛	control knob te a awm bawk
🎤	microphone hmanga tih a ni
🎧	headphone hmanga tih a ni
📻	radio hmanga tih a ni
🎷	saxophone hmanga tih a ni
🎸	guitar a ni
🎹	music keyboard hmanga siam a ni
🎺	tawtawrawt ri
🎻	violin hmanga siam a ni
🥁	drum a ni
📱	mobile phone hmanga hman theih a ni
📲	mobile phone ah chuan arrow a awm
☎️	telephone hmanga phone a ni
☎	telephone hmanga phone a ni
📞	telephone dawngtu a ni
📟	pager a ni
📠	fax machine hmanga siam a ni
🔋	battery
🔌	electric plug hmanga siam a ni
💻	laptop computer hmanga siam a ni
🖥️	desktop computer hmanga siam a ni
🖥	desktop computer hmanga siam a ni
🖨️	printer a ni
🖨	printer a ni
⌨️	keyboard hmanga siam a ni
⌨	keyboard hmanga siam a ni
🖱️	computer mouse hmanga siam a ni
🖱	computer mouse hmanga siam a ni
🖲️	trackball khelh a ni
🖲	trackball khelh a ni
💽	computer disk a ni
💾	floppy disk a ni
💿	optical disk hmanga siam a ni
📀	dvd
🧮	abacus tih a ni
🎥	movie camera hmanga siam a ni
🎞️	film frame hrang hrang a awm
🎞	film frame hrang hrang a awm
📽️	film projector hmanga siam a ni
📽	film projector hmanga siam a ni
🎬	clapper board a ni
📺	television-ah a awm a
📷	camera hmanga siam a ni
📸	camera ah hian flash a awm
📹	video camera hmanga siam a ni
📼	videocassette a ni
🔍	magnifying glass chu veilamah a innghat a
🔎	magnifying glass chu dinglamah a tilt a
🕯️	candle a ni
🕯	candle a ni
💡	light bulb a ni
🔦	flashlight hmangin a rawn lang a
🏮	paper sen lantern a ni
📔	notebook, a khuhna cheimawi tak
📕	lehkhabu khar a ni
📖	lehkhabu hawn
📗	green lehkhabu
📘	lehkhabu blue
📙	orange lehkhabu
📚	lehkhabu te
📓	notebook a ni
📒	ledger a ni
📃	page ah curl a awm
📜	scroll rawh
📄	page chunglam hawiin
📰	chanchinbu a ni
🗞️	chanchinbu roll-up a ni
🗞	chanchinbu roll-up a ni
📑	bookmark tih a ni
🔖	bookmark tih a ni
🏷️	lehkhathem
🏷	lehkhathem
💰	pawisa bag
💴	yen pawisa note a ni
💵	dollar pawisa note a ni
💶	euro pawisa note a ni
💷	pound pawisa note a ni
💸	pawisa thla nei
💳	credit card hmanga lei theih a ni
🧾	dawng
💹	chart chu yen nen a pung chho zel
💱	pawisa inthlengna a ni
💲	dollar rit tak chhinchhiahna
✉️	lehkhathawn bawm
✉	lehkhathawn bawm
📧	e-mail hmangin a rawn thawn a
📨	envelope lo lut a ni
📩	envelope ah chuan arrow a awm
📤	outbox tray-ah dah a ni
📥	inbox tray-ah dah a ni
📦	bawm
📫	mailbox khar a ni a, flag sang tak a awm bawk
📪	mailbox khar a ni a, flag tihhniam a ni
📬	mailbox hawng la, flag sang tak a awm bawk
📭	mailbox hawng la, flag tihhniam a ni
📮	postbox ah dah a ni
🗳️	ballot box-ah ballot a awm bawk
🗳	ballot box-ah ballot a awm bawk
✏️	ziakfung
✏	ziakfung
✒️	dum nib
✒	dum nib
🖋️	fountain pen a ni
🖋	fountain pen a ni
🖊️	ziakfung
🖊	ziakfung
🖌️	paintbrush hmanga siam a ni
🖌	paintbrush hmanga siam a ni
🖍️	crayon tih a ni
🖍	crayon tih a ni
📝	memo a ni
💼	briefcase a awm a
📁	file folder ah dah a ni
📂	file folder hawng rawh
🗂️	card index hrang hranga inthenna te
🗂	card index hrang hranga inthenna te
📅	calendar a ni
📆	tear-off calendar a ni
🗒️	spiral notepad hmanga siam a ni
🗒	spiral notepad hmanga siam a ni
🗓️	spiral calendar hmanga siam a ni
🗓	spiral calendar hmanga siam a ni
📇	card index a ni
📈	chart a pung chho zel
📉	chart a tlahniam zel
📊	bar chart a ni
📋	clipboard a ni
📌	pushpin a ni
📍	round pushpin a ni
📎	paperclip a ni
🖇️	paperclips inzawmkhawm a ni
🖇	paperclips inzawmkhawm a ni
📏	ruler dik tak a ni
📐	triangular ruler a ni
✂️	bakcheh
✂	bakcheh
🗃️	card file box ah dah a ni
🗃	card file box ah dah a ni
🗄️	file cabinet ah dah a ni
🗄	file cabinet ah dah a ni
🗑️	bawlhhlawh bawm a ni
🗑	bawlhhlawh bawm a ni
🔒	lock a ni
🔓	unlock a ni
🔏	pen hmanga lock a ni
🔐	key hmanga lock a ni
🔑	chahbi
🗝️	key hlui tawh
🗝	key hlui tawh
🔨	hammer a ni
⛏️	chhar
⛏	chhar
⚒️	hammer leh pick
⚒	hammer leh pick
🛠️	hammer leh wrench hmanga siam a ni
🛠	hammer leh wrench hmanga siam a ni
🗡️	dagger a ni
🗡	dagger a ni
⚔️	crossed khandaih a ni
⚔	crossed khandaih a ni
🔫	pistol a ni
🏹	thal leh thal
🛡️	phaw
🛡	phaw
🔧	wrench a ni
🔩	nut leh bolt a ni
⚙️	thawmhnaw
⚙	thawmhnaw
🗜️	clamp a ni
🗜	clamp a ni
⚖️	balance scale a ni
⚖	balance scale a ni
🔗	zawm
⛓️	chain a awm bawk
⛓	chain a awm bawk
🧰	hmanrua dahna bawm
🧲	magnet a ni
⚗️	alembic tih a ni
⚗	alembic tih a ni
🧪	test tube hmanga enfiah a ni
🧫	petri dish a ni
🧬	dna
🔬	microscope hmanga tih a ni
🔭	telescope hmanga siam a ni
📡	satellite antenna hmanga siam a ni
💉	syringe hmanga siam a ni
💊	pill a ni
🚪	kawngkhar
🛏️	khum
🛏	khum
🛋️	sofa leh lamp a awm bawk
🛋	sofa leh lamp a awm bawk
🚽	ekin
🚿	ruahsur
🛁	bathtub a awm bawk
🧴	lotion bottle a ni
🧷	himna pin
🧹	hmunphiah
🧺	bawm a ni
🧻	paper roll a ni
🧼	sahbawn
🧽	sponge hmanga siam a ni
🧯	kangmei titawp thei
🛒	shopping cart a ni
🚬	cigarette a ni
⚰️	bawm chhungah
⚰	bawm chhungah
⚱️	vuina urn a ni
⚱	vuina urn a ni
🗿	moai
🏧	ATM sign a ni
🚮	litter in bin chhinchhiahna
🚰	tui in tur
♿	wheelchair chhinchhiahna a ni
🚹	mipa room-ah a awm
🚺	hmeichhe room-ah a awm
🚻	restroom-ah dah a ni
🚼	nausen chhinchhiahna
🚾	tui dahna hmun
🛂	passport control theihna tur a ni
🛃	hnam dan
🛄	baggage lak theihna tur a ni
🛅	bungrua a chhuahsan
⚠️	vaulawkna
⚠	vaulawkna
🚸	naupang tlan pelh
⛔	entry a awm lo
🚫	khap a ni
🚳	bicycle pawh a awm lo
🚭	zu in loh tur
🚯	bawlhhlawh paih a ni lo
🚱	tui in tur ni lo
🚷	kea kal pawh an awm lo
📵	mobile phone pawh a awm lo
🔞	kum sawm leh pariat hnuai lam tumah an awm lo
☢️	radioactive a ni
☢	radioactive a ni
☣️	biohazard a ni
☣	biohazard a ni
⬆️	up arrow a ni
⬆	up arrow a ni
↗️	up-right arrow a ni
↗	up-right arrow a ni
➡️	dinglam arrow a ni
➡	dinglam arrow a ni
↘️	down-right arrow a ni
↘	down-right arrow a ni
⬇️	down arrow a ni
⬇	down arrow a ni
↙️	hnuai lam atanga veilam arrow
↙	hnuai lam atanga veilam arrow
⬅️	veilam arrow a ni
⬅	veilam arrow a ni
↖️	up-left arrow a ni
↖	up-left arrow a ni
↕️	up-down arrow a ni
↕	up-down arrow a ni
↔️	veilam-dinglam arrow a ni
↔	veilam-dinglam arrow a ni
↩️	dinglam arrow curving veilamah
↩	dinglam arrow curving veilamah
↪️	veilam arrow curving dinglamah a awm
↪	veilam arrow curving dinglamah a awm
⤴️	dinglam arrow chu a curving up
⤴	dinglam arrow chu a curving up
⤵️	dinglam arrow curving hnuai lam
⤵	dinglam arrow curving hnuai lam
🔃	darkar lam hawia vertical arrows te
🔄	darkar kalh zawnga arrows button
🔙	BACK arrow a ni
🔚	END tih a ni
🔛	ON arrow a ni
🔜	SOON arrow a ni
🔝	TOP arrow a ni
🛐	Pathian biakna hmun
⚛️	atom chhinchhiahna
⚛	atom chhinchhiahna
🕉️	om
🕉	om
✡️	Davida arsi a ni
✡	Davida arsi a ni
☸️	dharma-a wheel chu a ni
☸	dharma-a wheel chu a ni
☯️	yin yang
☯	yin yang
✝️	latin kraws a ni
✝	latin kraws a ni
☦️	orthodox kraws a ni
☦	orthodox kraws a ni
☪️	arsi leh thlasik lai a ni
☪	arsi leh thlasik lai a ni
☮️	remna chhinchhiahna
☮	remna chhinchhiahna
🕎	menorah tih a ni
🔯	dotted arsi paruk nei a ni
♈	Aries chuan a ti a
♉	Taurus a ni
♊	Gemini te tan a ni
♋	Ngawt
♌	Leo
♍	Virgo a ni
♎	Libra tih a ni
♏	Scorpio a ni
♐	Sagittarius a ni
♑	Capricorn a ni
♒	Aquarius a ni
♓	Pisces te hi an ni
⛎	Ophiuchus chuan a ti a
🔀	shuffle tracks tih a ni
🔁	tih leh rawh
🔂	button pakhat chauh repeat leh rawh
▶️	play button a ni
▶	play button a ni
⏩	fast-forward tih a ni
⏭️	track hnuhnung ber button
⏭	track hnuhnung ber button
⏯️	play emaw pause emaw tih mai tur a ni
⏯	play emaw pause emaw tih mai tur a ni
◀️	reverse button hmangin a rawn lang leh ang
◀	reverse button hmangin a rawn lang leh ang
⏪	fast reverse button a ni
⏮️	track hnuhnung ber button
⏮	track hnuhnung ber button
🔼	chunglam hawia button a ni
⏫	fast up tih a ni
🔽	hnuai lam hawia button
⏬	fast down button a ni
⏸️	pause tih a ni
⏸	pause tih a ni
⏹️	stop button tih kha a ni
⏹	stop button tih kha a ni
⏺️	record tih a ni
⏺	record tih a ni
⏏️	eject tih a ni
⏏	eject tih a ni
🎦	cinema lam a ni
🔅	dim button a ni
🔆	button eng tak a ni
📶	antenna bar a awm bawk
📳	vibration mode a ni
📴	mobile phone off a ni
♀️	hmeichhe chhinchhiahna
♀	hmeichhe chhinchhiahna
♂️	mipa chhinchhiahna
♂	mipa chhinchhiahna
⚕️	damdawi lam chhinchhiahna
⚕	damdawi lam chhinchhiahna
♾️	tawpchin nei lo
♾	tawpchin nei lo
♻️	recycling tih chhinchhiahna a ni
♻	recycling tih chhinchhiahna a ni
⚜️	fleur-de-lis tih a ni
⚜	fleur-de-lis tih a ni
🔱	trident chhinchhiahna
📛	hming badge a ni
🔰	Japanese symbol chu a bul tanna atan a ni
⭕	rit lian tak circle
✅	check mark dum rit tak a ni
☑️	ballot box ah check a awm bawk
☑	ballot box ah check a awm bawk
✔️	check mark rit tak a ni
✔	check mark rit tak a ni
✖️	tihpunna rit tak x
✖	tihpunna rit tak x
❌	kraws chhinchhiahna
❎	cross mark tih a ni
➕	heavy plus chhinchhiahna a ni
➖	rit minus chhinchhiahna
➗	inthenna rit tak chhinchhiahna
➰	curly loop a ni
➿	double curly loop a ni
〽️	part inthlak danglamna chhinchhiahna
〽	part inthlak danglamna chhinchhiahna
✳️	asterisk 8 nei a ni
✳	asterisk 8 nei a ni
✴️	point riat nei star a ni
✴	point riat nei star a ni
❇️	a eng chhuak
❇	a eng chhuak
‼️	double exclamation mark a ni
‼	double exclamation mark a ni
⁉️	exclamation zawhna chhinchhiahna
⁉	exclamation zawhna chhinchhiahna
❓	zawhna chhinchhiahna
❔	zawhna chhinchhiahna dum
❕	exclamation mark var a ni
❗	exclamation chhinchhiahna
〰️	wavy dash a ni
〰	wavy dash a ni
©️	copyright a ni
©	copyright a ni
®️	register a ni tawh
®	register a ni tawh
™️	trade mark a ni
™	trade mark a ni
#️⃣	keycap: # 1000 a ni.
#⃣	keycap: # 1000 a ni.
*️⃣	keycap: * tih a ni.
*⃣	keycap: * tih a ni.
0️⃣	keycap: 0 a ni
0⃣	keycap: 0 a ni
1️⃣	keycap: 1. a ni
1⃣	keycap: 1. a ni
2️⃣	keycap: 2. a ni
2⃣	keycap: 2. a ni
3️⃣	keycap: 3 a ni
3⃣	keycap: 3 a ni
4️⃣	keycap: 4 a ni
4⃣	keycap: 4 a ni
5️⃣	keycap: 5 a ni
5⃣	keycap: 5 a ni
6️⃣	keycap: 6 a ni
6⃣	keycap: 6 a ni
7️⃣	keycap: 7 a ni
7⃣	keycap: 7 a ni
8️⃣	keycap: 8 a ni
8⃣	keycap: 8 a ni
9️⃣	keycap: 9 a ni
9⃣	keycap: 9 a ni
🔟	keycap: 10 a ni
💯	point za zet a ni
🔠	latin tawng lian takin input rawh
🔡	input latin tawng te tak te
🔢	number input te a awm bawk
🔣	input chhinchhiahna te
🔤	latin letters te chu input rawh
🅰️	A button (thisen chi hrang hrang) .
🅰	A button (thisen chi hrang hrang) .
🆎	AB button (thisen chi hrang hrang) .
🅱️	B button (thisen chi hrang hrang) .
🅱	B button (thisen chi hrang hrang) .
🆑	CL button a awm
🆒	COOL tih a ni
🆓	FREE tih a ni
ℹ️	hriattirna
ℹ	hriattirna
🆔	ID tih a ni
Ⓜ️	a rawn vel M
Ⓜ	a rawn vel M
🆕	NEW button tih a ni
🆖	NG button a ni
🅾️	O button (thisen chi hrang hrang) .
🅾	O button (thisen chi hrang hrang) .
🆗	OK tih kha button a ni
🅿️	P button ah hian a awm
🅿	P button ah hian a awm
🆘	SOS tih a ni
🆙	UP tih a ni
🆚	VS tih a ni
🈁	Japanese “hetah” tih button hi a ni
🈂️	Japanese tawng “service charge” tih button a ni
🈂	Japanese tawng “service charge” tih button a ni
🈷️	Japanese “thla tin sum” tih button
🈷	Japanese “thla tin sum” tih button
🈶	Japanese “a thlawna hman loh” tih button
🈯	Japanese tawng “reserved” tih button a ni
🉐	Japanese tawng “bargain” tih button a ni
🈹	Japanese tawng “discount” tih hi a ni
🈚	Japanese tawng “a thlawna” tih button
🈲	Japanese “khap” tih button a ni
🉑	Japanese tawng “pawm theih” tih button
🈸	Japanese tawng “application” tih kha a ni
🈴	Japanese tawng “passing grade” tih tih hi a ni
🈳	Japanese “vacancy” tih thupui hmangin a rawn ti a
㊗️	Japanese tawng “lawmpui” tih button
㊗	Japanese tawng “lawmpui” tih button
㊙️	Japanese tawng “thuruk” tih button a ni
㊙	Japanese tawng “thuruk” tih button a ni
🈺	Japanese “sumdawnna atan hawn” tih button
🈵	Japanese “no vacancy” tih tih hi a ni
▪️	dum te tak te square
▪	dum te tak te square
▫️	var te tak te square
▫	var te tak te square
◻️	a var a ni
◻	a var a ni
◼️	black medium square a ni
◼	black medium square a ni
◽	var medium-small square a ni
◾	dum medium-small square a ni
⬛	dum lian tak square
⬜	var lian tak square
🔶	diamond lian tak, orange rawng a ni
🔷	diamond lian tak, blue
🔸	diamond orange te tak te te
🔹	diamond blue te tak te te
🔺	red triangle chu a rawn lang chhuak a
🔻	red triangle chu a hnuai lam hawiin a awm
💠	diamond chu dot a ni
🔘	radio button hmanga tih a ni
🔲	black square button a ni
🔳	white square button a ni
⚪	circle var a ni
⚫	black circle a ni
🔴	red circle a ni
🔵	blue circle a ni
🏁	checkered flag a ni
🚩	triangular flag a ni
🎌	crossed flags te a awm
🏴	flag dum a ni
🏳️	flag dum a ni
🏳	flag dum a ni
🏳️‍🌈	rainbow flag a ni
🏳‍🌈	rainbow flag a ni
🏴‍☠️	pirate flag a ni
🏴‍☠	pirate flag a ni
🇦🇨	Ascension thliarkar a ni
🇦🇩	Andorra a ni
🇦🇪	United Arab Emirates-ah a awm a ni
🇦🇫	Afghanistan ramah a ni
🇦🇬	Antigua leh Barbuda-ah te pawh a awm
🇦🇮	Anguilla chuan a rawn ti a
🇦🇱	Albania ram a ni
🇦🇲	Armenia ram a ni
🇦🇴	Angola a ni
🇦🇶	Antarctica ramah a awm a
🇦🇷	Argentina tan chuan a ni
🇦🇸	American Samoa ram a ni
🇦🇹	Austria ram a ni
🇦🇺	Australia ram a ni
🇦🇼	Aruba a ni
🇦🇽	Åland thliarkar a ni
🇦🇿	Azerbaijan ram a ni
🇧🇦	Bosnia & Herzegovina ramah a awm a
🇧🇧	Barbados-ah a awm a
🇧🇩	Bangladesh a ni
🇧🇪	Belgium a ni
🇧🇫	Burkina Faso ram a ni
🇧🇬	Bulgaria ram a ni
🇧🇭	Bahrain a ni
🇧🇮	Burundi ram a ni
🇧🇯	Benin-ah a awm a
🇧🇱	Mithianghlim Barthélemy-a chuan
🇧🇲	Bermuda ramah a awm
🇧🇳	Brunei-ah a ni
🇧🇴	Bolivia ram a ni
🇧🇶	Caribbean Netherlands-ah hian a awm a
🇧🇷	Brazil ram a ni
🇧🇸	Bahamas ram a ni
🇧🇹	Bhutan a ni
🇧🇻	Bouvet thliarkar a ni
🇧🇼	Botswana ram a ni
🇧🇾	Belarus ram a ni
🇧🇿	Belize ram a ni
🇨🇦	Canada ram a ni
🇨🇨	Cocos (Keeling) thliarkar a ni
🇨🇩	Congo - Kinshasa-ah a awm
🇨🇫	Central African Republic-ah a awm a ni
🇨🇬	Congo atanga Brazzaville thleng a ni
🇨🇭	Switzerland ram a ni
🇨🇮	Côte d’Ivoire-ah a awm a
🇨🇰	Cook Islands-ah a awm a
🇨🇱	Chile ram a ni
🇨🇲	Cameroon a ni
🇨🇳	China ram a ni
🇨🇴	Colombia ramah a awm
🇨🇵	Clipperton thliarkar a ni
🇨🇷	Costa Rica ram a ni
🇨🇺	Cuba ram a ni
🇨🇻	Cape Verde-ah a awm a
🇨🇼	Curaçao-ah a awm a
🇨🇽	Krismas thliarkar a ni
🇨🇾	Cyprus ram a ni
🇨🇿	Czechia ram a ni
🇩🇪	Germany ram a ni
🇩🇬	Diego Garcia chuan a rawn ti a
🇩🇯	Djibouti a ni
🇩🇰	Denmark ram a ni
🇩🇲	Dominica ram a ni
🇩🇴	Dominican Republic ram a ni
🇩🇿	Algeria ram a ni
🇪🇦	Ceuta leh Melilla te an ni
🇪🇨	Ecuador ramah a awm
🇪🇪	Estonia ram a ni
🇪🇬	Aigupta ramah
🇪🇭	Sahara chhim lam
🇪🇷	Eritrea ram a ni
🇪🇸	Spain ram a ni
🇪🇹	Ethiopia ram a ni
🇪🇺	European Union a ni
🇫🇮	Finland ram a ni
🇫🇯	Fiji ramah a awm
🇫🇰	Falkland thliarkar a ni
🇫🇲	Micronesia ramah a awm a
🇫🇴	Faroe thliarkar a ni
🇫🇷	France ram a ni
🇬🇦	Gabon ram a ni
🇬🇧	United Kingdom-ah a awm a
🇬🇩	Grenada ram a ni
🇬🇪	Georgia ramah a awm
🇬🇫	French Guiana ram a ni
🇬🇬	Guernsey a ni
🇬🇭	Ghana ram a ni
🇬🇮	Gibraltar-ah a awm a
🇬🇱	Greenland ram a ni
🇬🇲	Gambia ram a ni
🇬🇳	Guinea ram a ni
🇬🇵	Guadeloupe-ah a awm a
🇬🇶	Equatorial Guinea ram atanga lo chhuak a ni
🇬🇷	Greece ram a ni
🇬🇸	South Georgia & South Sandwich thliarkar te a ni
🇬🇹	Guatemala ramah a ni
🇬🇺	Guam a ni
🇬🇼	Guinea-Bissau inkar a ni
🇬🇾	Guyana ram a ni
🇭🇰	Hong Kong SAR China chuan a rawn ti a
🇭🇲	Heard & McDonald thliarkar te a ni
🇭🇳	Honduras ram a ni
🇭🇷	Croatia ram a ni
🇭🇹	Haiti ramah a awm
🇭🇺	Hungary ram a ni
🇮🇨	Canary thliarkar a ni
🇮🇩	Indonesia ram a ni
🇮🇪	Ireland ram a ni
🇮🇱	Israel ram a ni
🇮🇲	Isle of Man-ah a awm a
🇮🇳	India
🇮🇴	British Indian Ocean ram chhunga awm a ni
🇮🇶	Iraq ram a ni
🇮🇷	Iran ram a ni
🇮🇸	Iceland ram a ni
🇮🇹	Italy ram a ni
🇯🇪	Jersey a ni
🇯🇲	Jamaica ram a ni
🇯🇴	Jordan a ni
🇯🇵	Japan ram a ni
🇰🇪	Kenya ramah a awm
🇰🇬	Kyrgyzstan ram a ni
🇰🇭	Cambodia ram a ni
🇰🇮	Kiribati-ah a awm a
🇰🇲	Comoros-ah a awm a
🇰🇳	St. Kitts & Nevis-ah te an awm a
🇰🇵	North Korea a ni
🇰🇷	South Korea a ni
🇰🇼	Kuwait a ni
🇰🇾	Cayman thliarkar a ni
🇰🇿	Kazakhstan ram a ni
🇱🇦	Laos a ni
🇱🇧	Lebanon ram a ni
🇱🇨	Mithianghlim Lucia-i
🇱🇮	Liechtenstein-a awm a ni
🇱🇰	Sri Lanka a ni
🇱🇷	Liberia ram a ni
🇱🇸	Lesotho ram a ni
🇱🇹	Lithuania ram a ni
🇱🇺	Luxembourg khawpuiah a awm
🇱🇻	Latvia ram a ni
🇱🇾	Libya ram a ni
🇲🇦	Morocco a ni
🇲🇨	Monaco-ah a awm
🇲🇩	Moldova ram a ni
🇲🇪	Montenegro ram a ni
🇲🇫	Mithianghlim Martin-a chuan
🇲🇬	Madagascar ram a ni
🇲🇭	Marshall thliarkar a ni
🇲🇰	Makedonia ram a ni
🇲🇱	Mali
🇲🇲	Myanmar (Burma) a ni a.
🇲🇳	Mongolia ram a ni
🇲🇴	Macau SAR China ramah a awm a
🇲🇵	Mariana thliarkar hmar lam
🇲🇶	Martinique a ni
🇲🇷	Mauritania ram a ni
🇲🇸	Montserrat-ah a awm a
🇲🇹	Malta ramah a awm
🇲🇺	Mauritius a ni
🇲🇻	Maldives-ah a awm a
🇲🇼	Malawi a ni
🇲🇽	Mexico ram a ni
🇲🇾	Malaysia ramah hian
🇲🇿	Mozambique ram a ni
🇳🇦	Namibia ram a ni
🇳🇨	New Caledonia a ni
🇳🇪	Niger a ni
🇳🇫	Norfolk thliarkar a ni
🇳🇬	Nigeria ram a ni
🇳🇮	Nicaragua ram a ni
🇳🇱	Netherlands ram a ni
🇳🇴	Norway ram a ni
🇳🇵	Nepal ram a ni
🇳🇷	Nauru a ni
🇳🇺	Niue
🇳🇿	New Zealand a ni
🇴🇲	Oman a ni
🇵🇦	Panama a ni
🇵🇪	Peru ram a ni
🇵🇫	French Polynesia ramah a awm a
🇵🇬	Papua New Guinea ram a ni
🇵🇭	Philippines ramah a awm
🇵🇰	Pakistan ram a ni
🇵🇱	Poland ram a ni
🇵🇲	Mithianghlim Pierre leh Miquelon te an ni
🇵🇳	Pitcairn thliarkar a ni
🇵🇷	Puerto Rico a ni
🇵🇸	Palestinian ram hrang hrangah te
🇵🇹	Portugal ram a ni
🇵🇼	Palau a ni
🇵🇾	Paraguay a ni
🇶🇦	Qatar a ni
🇷🇪	Réunion a ni
🇷🇴	Romania ram a ni
🇷🇸	Serbia ram a ni
🇷🇺	Russia ram a ni
🇷🇼	Rwanda ram a ni
🇸🇦	Saudi Arabia ram a ni
🇸🇧	Solomon thliarkar a ni
🇸🇨	Seychelles khawpui a ni
🇸🇩	Sudan ram a ni
🇸🇪	Sweden ram a ni
🇸🇬	Singapore a ni
🇸🇭	Mithianghlim Helena
🇸🇮	Slovenia ram a ni
🇸🇯	Svalbard leh Jan Mayen te an ni
🇸🇰	Slovakia ram a ni
🇸🇱	Sierra Leone ram a ni
🇸🇲	San Marino-ah a awm a
🇸🇳	Senegal ram a ni
🇸🇴	Somalia ram a ni
🇸🇷	Suriname-ah a awm a
🇸🇸	South Sudan-ah a awm a ni
🇸🇹	São Tomé leh Príncipe te an ni
🇸🇻	El Salvador ramah a awm
🇸🇽	Sint Maarten chuan a rawn ti a
🇸🇾	Syria ram a ni
🇸🇿	Swaziland ram a ni
🇹🇦	Tristan da Cunha chuan a rawn ti a
🇹🇨	Turks & Caicos thliarkarte a ni
🇹🇩	Chad a ni
🇹🇫	French khawthlang lam bial te
🇹🇬	Togo khawpui a ni
🇹🇭	Thailand ramah
🇹🇯	Tajikistan ram a ni
🇹🇰	Tokelau a ni
🇹🇱	Timor-Leste atanga lo kal a ni
🇹🇲	Turkmenistan ram a ni
🇹🇳	Tunisia ram a ni
🇹🇴	Tonga a ni
🇹🇷	Sai ar
🇹🇹	Trinidad & Tobago-ah a awm a
🇹🇻	Tuvalu a ni
🇹🇼	Taiwan a ni
🇹🇿	Tanzania ram a ni
🇺🇦	Ukraine ram a ni
🇺🇬	Uganda ram a ni
🇺🇲	U.S. Hmun Hrang Hrang Hrangte
🇺🇳	United Nations chuan a ti a
🇺🇸	United States a ni
🇺🇾	Uruguay a ni
🇺🇿	Uzbekistan ram a ni
🇻🇦	Vatican khawpuiah a awm
🇻🇨	St. Vincent leh Grenadines te chuan an lo hmuak a
🇻🇪	Venezuela ram a ni
🇻🇬	British Virgin thliarkar a ni
🇻🇮	U.S. Virgin Islands-ah chuan a awm a
🇻🇳	Vietnam ram a ni
🇻🇺	Vanuatu a ni
🇼🇫	Wallis leh Futuna te an ni
🇼🇸	Samoa ram a ni
🇽🇰	Kosovo a ni
🇾🇪	Yemen ram a ni
🇾🇹	Mayotte chuan a rawn ti a
🇿🇦	South Africa-ah hian a awm a ni
🇿🇲	Zambia a ni
🇿🇼	Zimbabwe ram a ni
🏴󠁧󠁢󠁥󠁮󠁧󠁿	England ram a ni
🏴󠁧󠁢󠁳󠁣󠁴󠁿	Scotland ramah a awm
🏴󠁧󠁢󠁷󠁬󠁳󠁿	Wales ram a ni
